time_stamp, total time, scan point size, incremental time, search time, delete size, delete time, tree size st, tree size end, add point size, preprocess time
1757701342.36376715,0.01233004,11909,0.00127178,0.00000000,0,0.00000000,5271,5277,107,0.00058045
1757701342.46384072,0.00589504,11817,0.00036520,0.00000000,0,0.00000000,5277,5291,127,0.00052881
1757701342.56382322,0.00578904,11927,0.00027619,0.00000000,0,0.00000000,5291,5339,100,0.00044043
1757701342.66382837,0.00813057,11989,0.00041394,0.00000000,0,0.00000000,5339,5362,111,0.00049025
1757701342.76383901,0.00667116,11702,0.00025698,0.00000000,0,0.00000000,5362,5406,92,0.00048310
1757701342.86372018,0.00657869,11857,0.00037106,0.00000000,0,0.00000000,5406,5397,90,0.00048183
1757701342.96377087,0.01038473,12015,0.00036390,0.00000000,0,0.00000000,5397,5455,100,0.00062272
1757701343.06402612,0.00898763,11915,0.00030058,0.00000000,0,0.00000000,5455,5465,92,0.00046575
1757701343.16372275,0.00763785,11677,0.00032371,0.00000000,0,0.00000000,5465,5482,97,0.00043559
1757701343.26375222,0.00814421,12022,0.00027229,0.00000000,0,0.00000000,5482,5504,89,0.00115066
1757701343.36391664,0.00793800,12006,0.00036255,0.00000000,0,0.00000000,5504,5548,94,0.00086570
1757701343.46397519,0.00783093,11964,0.00038930,0.00000000,0,0.00000000,5548,5584,89,0.00056885
1757701343.56385708,0.00704093,11809,0.00023613,0.00000000,0,0.00000000,5584,5610,85,0.00057991
1757701343.66372252,0.00601219,12018,0.00020812,0.00000000,0,0.00000000,5610,5640,91,0.00059258
1757701343.76390076,0.00731977,11952,0.00031903,0.00000000,0,0.00000000,5640,5666,108,0.00066304
1757701343.86388016,0.00524883,11805,0.00021334,0.00000000,0,0.00000000,5666,5727,99,0.00047414
1757701343.96395946,0.00582926,11981,0.00023220,0.00000000,0,0.00000000,5727,5771,83,0.00050395
1757701344.06380200,0.00800755,12329,0.00023308,0.00000000,0,0.00000000,5771,5806,78,0.00062674
1757701344.16383481,0.00825776,11979,0.00037663,0.00000000,0,0.00000000,5806,5795,75,0.00047593
1757701344.26378369,0.00625162,12018,0.00076092,0.00000000,0,0.00000000,5795,5607,92,0.00064799
1757701344.36390686,0.00597043,12028,0.00019763,0.00000000,0,0.00000000,5607,5635,76,0.00040729
1757701344.46390104,0.00666871,12304,0.00024113,0.00000000,0,0.00000000,5635,5698,101,0.00070596
1757701344.56370878,0.00798961,12127,0.00040667,0.00000000,0,0.00000000,5698,5715,79,0.00075024
1757701344.66390896,0.00689966,11992,0.00023972,0.00000000,0,0.00000000,5715,5726,81,0.00041669
1757701344.76374435,0.00707699,12168,0.00020728,0.00000000,0,0.00000000,5726,5752,85,0.00073403
1757701344.86390352,0.00686914,12036,0.00030646,0.00000000,0,0.00000000,5752,5798,84,0.00076362
1757701344.96382761,0.00723787,12310,0.00028000,0.00000000,0,0.00000000,5798,5819,92,0.00068396
1757701345.06376195,0.00821529,12257,0.00060129,0.00000000,0,0.00000000,5819,5632,81,0.00085958
1757701345.16392398,0.00692353,11938,0.00027987,0.00000000,0,0.00000000,5632,5631,82,0.00087527
1757701345.26379371,0.00597888,12298,0.00025831,0.00000000,0,0.00000000,5631,5673,83,0.00040432
1757701345.36381054,0.00582326,12303,0.00016015,0.00000000,0,0.00000000,5673,5713,68,0.00058653
1757701345.46381021,0.00581585,12167,0.00020606,0.00000000,0,0.00000000,5713,5766,87,0.00043344
1757701345.56375337,0.00690474,12062,0.00038320,0.00000000,0,0.00000000,5766,5808,90,0.00086646
1757701345.66391516,0.00774683,12151,0.00020810,0.00000000,0,0.00000000,5808,5830,79,0.00049489
1757701345.76375294,0.00650978,12375,0.00061131,0.00000000,0,0.00000000,5830,5860,89,0.00074023
1757701345.86373329,0.00738044,12215,0.00032324,0.00000000,0,0.00000000,5860,5877,91,0.00088773
1757701345.96383977,0.00753494,11994,0.00059629,0.00000000,0,0.00000000,5877,5934,84,0.00064219
1757701346.06378531,0.00605548,12305,0.00036336,0.00000000,0,0.00000000,5934,5935,104,0.00048834
1757701346.16389680,0.00720318,12346,0.00028499,0.00000000,0,0.00000000,5935,5973,109,0.00048560
1757701346.26378489,0.00554465,12032,0.00028083,0.00000000,0,0.00000000,5973,6002,91,0.00051868
1757701346.36375189,0.00668137,12154,0.00026725,0.00000000,0,0.00000000,6002,6052,100,0.00048236
1757701346.46396708,0.00785885,12157,0.00027621,0.00000000,0,0.00000000,6052,6100,95,0.00056406
1757701346.56386018,0.00596851,11945,0.00023389,0.00000000,0,0.00000000,6100,6135,86,0.00064814
1757701346.66390228,0.00601990,12327,0.00027096,0.00000000,0,0.00000000,6135,6189,102,0.00042267
1757701346.76388097,0.00602217,12084,0.00028326,0.00000000,0,0.00000000,6189,6221,91,0.00066238
1757701346.86374879,0.00632792,12053,0.00030587,0.00000000,0,0.00000000,6221,6249,83,0.00046617
1757701346.96373129,0.00760935,12193,0.00021317,0.00000000,0,0.00000000,6249,6305,98,0.00036992
1757701347.06390166,0.00937487,12192,0.00040146,0.00000000,0,0.00000000,6305,6290,93,0.00034426
1757701347.16374588,0.00798043,12034,0.00025491,0.00000000,0,0.00000000,6290,6333,91,0.00030565
1757701347.26389337,0.00741598,12182,0.00029228,0.00000000,0,0.00000000,6333,6389,103,0.00053169
1757701347.36386514,0.00740180,12153,0.00031432,0.00000000,0,0.00000000,6389,6420,91,0.00051689
